"Idade","Local de trabalho","Pontuação teste","Departmento","Distancia casa-trabalho","Educacao","Area","Subordinado","Satisfação com o ambiente no emprego atual","Genero","Horas voluntariado","Envolvimento com trabalho","Posicao","Cargo","Satisfação com emprego","Estado civil","Renda","Bonus de performance","Quantidade de empresas que trabalho","Necessita de hora extra","Aumento de salario%","Performance na entrevista","Satisfação com a relação","Beneficios","Anos de experiencia","Horas de treinamento ultimo ano","Estilo de vida","Anos na última empresa","Anos na posição atual","Anos desde última promoção","Anos com a mesma gerência","ADDED_COLUMN_1","$S-Contratar","$SP-Contratar"
"40","Misto","444","Vendas","2","Superior incompleto","Marketing","1986","2","F","92","3","2","Vendedo senior","2","Casado","5677","4258","3","Não","14","3","3","1","15","4","3","11","8","5","10",,"Não","0.999327"
"25","Misto","309","RH","2","Superior completo","Ciências humanas","1987","3","F","82","3","1","Assistente","2","Casado","2187","19655","4","Não","14","3","3","0","6","3","3","2","0","1","2",,"Sim","0.976381"
"30","Misto","911","Engenharia","1","Superior incompleto","Medicina","1989","4","M","76","3","1","Tecnico","2","Casado","3748","4077","1","Não","13","3","3","0","12","6","2","12","8","1","7",,"Não","0.879028"
"25","Misto","977","Engenharia","2","Médio completo","Outros","1992","4","M","57","3","1","Tecnico","3","Divorciado","3977","7298","6","Sim","19","3","3","1","7","2","2","2","2","0","2",,"Sim","0.998838"
"47","Escritório","1180","Engenharia","25","Superior completo","Medicina","1993","1","M","84","3","3","Analista","3","Solteiro","8633","13084","2","Não","23","4","2","0","25","3","3","17","14","12","11",,"Não","0.999978"
"33","Misto","1313","Engenharia","1","Superior incompleto","Medicina","1994","2","M","59","2","1","Tecnico","3","Divorciado","2008","20439","1","Não","12","3","3","3","1","2","2","1","1","0","0",,"Não","0.908063"
"38","Misto","1321","Vendas","1","Superior incompleto - cursando","Ciências das natureza","1995","4","M","86","3","2","Vendedo senior","2","Casado","4440","7636","0","Não","15","3","1","2","16","3","3","15","13","5","8",,"Não","0.993586"
"31","Cliente","1154","Vendas","2","Superior incompleto","Ciências das natureza","1996","1","M","54","3","1","Vendedor junior","3","Casado","3067","6393","0","Não","19","3","3","1","3","1","3","2","2","1","2",,"Não","0.972907"
"38","Misto","508","Engenharia","6","Superior incompleto - cursando","Ciências das natureza","1997","1","M","72","2","2","Supervisor","3","Casado","5321","14284","2","Não","11","3","4","1","10","1","3","8","3","7","7",,"Não","0.713735"
"42","Misto","557","Engenharia","18","Superior incompleto - cursando","Ciências das natureza","1998","4","M","35","3","2","Engenheiro","1","Divorciado","5410","11189","6","Sim","17","3","3","1","9","3","2","4","3","1","2",,"Sim","0.680231"
"41","Escritório","642","Engenharia","1","Superior completo","Ciências das natureza","1999","4","M","76","3","1","Engenheiro","4","Casado","2782","21412","3","Não","22","4","1","1","12","3","3","5","3","1","0",,"Não","0.991682"
"47","Misto","1162","Engenharia","1","Médio completo","Medicina","2000","3","F","98","3","3","Diretor","2","Casado","11957","17231","0","Não","18","3","1","2","14","3","1","13","8","5","12",,"Não","0.996454"
"35","Misto","1490","Engenharia","11","Superior incompleto - cursando","Medicina","2003","4","M","43","3","1","Tecnico","3","Casado","2660","20232","7","Sim","11","3","3","1","5","3","3","2","2","2","2",,"Sim","0.784362"
"22","Misto","581","Engenharia","1","Superior incompleto","Ciências das natureza","2007","4","M","63","3","1","Engenheiro","3","Solteiro","3375","17624","0","Não","12","3","4","0","4","2","4","3","2","1","2",,"Não","0.999978"
"35","Misto","1395","Engenharia","9","Superior incompleto - cursando","Medicina","2008","2","M","48","3","2","Engenheiro","3","Solteiro","5098","18698","1","Não","19","3","2","0","10","5","3","10","7","0","8",,"Não","0.999973"
"33","Misto","501","Engenharia","15","Superior incompleto","Medicina","2009","2","F","95","3","2","Analista","4","Casado","4878","21653","0","Sim","13","3","1","1","10","6","3","9","7","8","1",,"Não","0.991297"
"32","Misto","267","Engenharia","29","Superior incompleto - cursando","Ciências das natureza","2010","3","F","49","2","1","Tecnico","2","Solteiro","2837","15919","1","Não","13","3","3","0","6","3","3","6","2","4","1",,"Sim","0.991585"
"40","Misto","543","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","2012","1","M","83","3","1","Tecnico","4","Casado","2406","4060","8","Não","19","3","3","2","8","3","2","1","0","0","0",,"Não","0.99047"
"32","Misto","234","Vendas","1","Superior incompleto - cursando","Medicina","2013","2","M","68","2","1","Vendedor junior","2","Casado","2269","18024","0","Não","14","3","2","1","3","2","3","2","2","2","2",,"Sim","0.773864"
"39","Misto","116","Engenharia","24","Médio completo","Ciências das natureza","2014","1","M","52","3","2","Engenheiro","4","Solteiro","4108","5340","7","Não","13","3","1","0","18","2","3","7","7","1","7",,"Não","0.999976"
"38","Misto","201","Engenharia","10","Superior completo","Medicina","2015","2","F","99","1","3","Diretor","3","Casado","13206","3376","3","Não","12","3","1","1","20","3","3","18","16","1","11",,"Não","0.991555"
"32","Misto","801","Vendas","1","Superior incompleto - cursando","Marketing","2016","3","F","48","3","3","Vendedo senior","4","Casado","10422","24032","1","Não","19","3","3","2","14","3","3","14","10","5","7",,"Não","0.998642"
"37","Misto","161","Engenharia","10","Superior completo","Ciências das natureza","2017","3","F","42","4","3","Diretor","4","Casado","13744","15471","1","Sim","25","4","1","1","16","2","3","16","11","6","8",,"Não","0.994756"
"25","Escritório","1382","Vendas","8","Superior incompleto","Outros","2018","1","F","85","3","2","Vendedo senior","3","Divorciado","4907","13684","0","Sim","22","4","2","1","6","3","2","5","3","0","4",,"Não","0.996996"
"52","Misto","585","Vendas","29","Superior incompleto - cursando","Ciências das natureza","2019","1","M","40","3","1","Vendedor junior","4","Divorciado","3482","19788","2","Não","15","3","2","2","16","3","2","9","8","0","0",,"Não","0.99815"
"44","Misto","1037","Engenharia","1","Superior completo","Medicina","2020","2","M","42","3","1","Engenheiro","4","Solteiro","2436","13422","6","Sim","12","3","3","0","6","2","3","4","3","1","2",,"Não","0.977859"
"21","Escritório","501","Vendas","5","Médio completo","Medicina","2021","3","M","58","3","1","Vendedor junior","1","Solteiro","2380","25479","1","Sim","11","3","4","0","2","6","3","2","2","1","2",,"Sim","0.977707"
"39","Misto","105","Engenharia","9","Superior completo","Ciências das natureza","2022","4","M","87","3","5","Gerente","4","Solteiro","19431","15302","2","Não","13","3","3","0","21","3","2","6","0","1","3",,"Não","0.999998"
"36","Cliente","557","Vendas","3","Superior completo","Medicina","2024","1","F","94","2","3","Vendedo senior","4","Casado","7644","12695","0","Não","19","3","3","2","10","2","3","9","7","3","4",,"Não","0.659236"
"36","Escritório","688","Engenharia","4","Superior incompleto","Ciências das natureza","2025","4","F","97","3","2","Supervisor","2","Divorciado","5131","9192","7","Não","13","3","2","3","18","3","3","4","2","0","2",,"Não","0.999464"
"56","Misto","667","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","2026","3","M","57","3","2","Analista","3","Divorciado","6306","26236","1","Não","21","4","1","1","13","2","2","13","12","1","9",,"Não","0.999963"
