Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,_id,_rev,row
15,24,Brigadeiro,-23.5683,-46.6482,27,47752,24,36,37,REABASTECER,34,2019-6-21,8,000584cec60bc8be1d967ed669491377,1-445e1866e441c974dae6cc9d99cf890e,1251
32,12,Brigadeiro,-23.5683,-46.6482,13,49758,10,42,7,NORMAL,18,2019-7-8,17,000584cec60bc8be1d967ed669491bb9,1-64d50e16eadcab4d4e78f467b2706982,1268
19,13,Trianon-Masp,-23.5634,-46.6544,35,42549,40,37,33,NORMAL,41,2018-6-23,50,000584cec60bc8be1d967ed6694a3819,1-903997460cb74ff3a962f8e7935ccb8e,1613
34,43,Trianon-Masp,-23.5634,-46.6544,10,42874,50,86,37,NORMAL,27,2018-8-23,9,000584cec60bc8be1d967ed6694a7b9a,1-d74cb6a8cd4583c87f9c3c582b101053,1673
38,14,Trianon-Masp,-23.5634,-46.6544,39,44416,57,66,10,REABASTECER,4,2019-4-29,38,000584cec60bc8be1d967ed6694bdd35,1-613eeee276948f0e238aa9578f1c2276,1919
28,10,Consolação,-23.5581,-46.6606,43,115052,48,50,33,NORMAL,34,2018-1-14,30,000584cec60bc8be1d967ed6694d9096,1-d0fd969fa18fc11261048b3300f97ba6,2174
20,43,Consolação,-23.5581,-46.6606,26,115157,57,50,10,NORMAL,43,2018-9-1,30,000584cec60bc8be1d967ed6694e51b3,1-e2424b825a2afb138582770c8b54bb70,2401
35,43,Consolação,-23.5581,-46.6606,38,112119,65,60,15,REABASTECER,6,2019-5-19,9,000584cec60bc8be1d967ed6694ec97a,1-555e9ab0f652047adf01be5ce307b70c,2659
5,39,Consolação,-23.5581,-46.6606,9,112375,28,65,37,REABASTECER,25,2019-6-5,35,000584cec60bc8be1d967ed6694efa57,1-2b3cc16f91d546e343a500a04d32b412,2675
22,17,Tamanduateí,-23.59290,-46.5897,39,49600,9,27,10,NORMAL,10,2018-6-30,25,000584cec60bc8be1d967ed66950799a,1-a272032b5b7560d745deeac9f321d6d9,3060
20,13,Tamanduateí,-23.59290,-46.5897,18,50789,13,86,21,NORMAL,20,2019-1-5,48,000584cec60bc8be1d967ed66951225e,1-72b04dc5ffe24491b6b27f25b7ac36de,3245
39,36,Tamanduateí,-23.59290,-46.5897,13,53106,35,12,2,REABASTECER,40,2019-1-22,65,000584cec60bc8be1d967ed669513d15,1-add17c83bd865364ce85b32a0effbedb,3262
26,31,Sé,-23.55,-46.6333,14,191727,21,18,12,NORMAL,35,2018-2-21,40,000584cec60bc8be1d967ed669533eed,1-38e5eba19c12cc6dc4337a7b7096beb7,3651
38,31,Sé,-23.55,-46.6333,10,194569,54,86,34,NORMAL,43,2018-3-19,65,000584cec60bc8be1d967ed66953788e,1-fe98039a83e4767eda7ccbb248b64659,3679
32,13,Sé,-23.55,-46.6333,11,191519,42,86,19,NORMAL,20,2018-9-9,22,000584cec60bc8be1d967ed66953f017,1-5b6269457ab1b12aaac32e328bb0f1d4,3849
10,4,Sé,-23.55,-46.6333,29,193982,4,24,43,NORMAL,43,2018-9-25,45,000584cec60bc8be1d967ed6695401db,1-35dc6d44e6a57e2e41173f3c3eb428e9,3865
10,4,Sé,-23.55,-46.6333,2,192113,14,86,43,REABASTECER,43,2018-10-6,30,000584cec60bc8be1d967ed6695404f1,1-f9f8296e837ec031527f1b59c48c06ba,3876
43,21,Sé,-23.55,-46.6333,21,193156,38,30,17,NORMAL,9,2019-12-14,65,000584cec60bc8be1d967ed66955529a,1-fe11d1e73dbee19d63643c4748ea5b72,4304
9,19,Brás,-23.5451,-46.6162,4,70835,15,76,9,NORMAL,17,2018-11-27,40,000584cec60bc8be1d967ed6695d73e9,1-ffddf3970c6459942387cbf054f127a2,4647
13,42,Barra Funda,-23.5542,-46.6707,41,147877,55,47,13,NORMAL,36,2018-8-22,32,000584cec60bc8be1d967ed6695f669b,1-3af338bac48a83230651fea3019585bc,5272
5,25,Barra Funda,-23.5542,-46.6707,11,148087,15,77,12,REABASTECER,43,2019-1-22,65,000584cec60bc8be1d967ed6695feed2,1-c719d24667069578e881ff68cf4e62c3,5422
14,41,Barra Funda,-23.5542,-46.6707,27,147033,34,66,9,NORMAL,43,2019-8-12,48,000584cec60bc8be1d967ed66960d69e,1-052c57f16fb4e2385f8c69061077bc40,5622
21,29,Barra Funda,-23.5542,-46.6707,16,147483,41,28,38,NORMAL,40,2019-10-17,13,000584cec60bc8be1d967ed66961153b,1-b1ace4dfc2f197de22291619fbf689c8,5687
43,42,Tatuapé,-23.5402,-46.5765,32,67921,25,65,5,NORMAL,43,2018-9-2,60,000584cec60bc8be1d967ed669624705,1-e8c01c5ec842231682fa03058ffbf361,6002
43,22,Tatuapé,-23.5402,-46.5765,13,70630,41,69,43,NORMAL,34,2019-1-9,23,000584cec60bc8be1d967ed66962c9cb,1-95dfa475c9ddbce8ded2a8a5a071913e,6129
19,19,Tatuapé,-23.5402,-46.5765,12,67158,39,55,2,REABASTECER,6,2019-5-1,56,000584cec60bc8be1d967ed6696304dd,1-e448b0f8a644951bcf501a9a977f779c,6241
8,23,Tatuapé,-23.5402,-46.5765,3,68279,44,78,43,REABASTECER,16,2019-8-6,23,000584cec60bc8be1d967ed669633c0a,1-b310d1d06909062e87ec0fdf871542e8,6336
36,35,Paraíso,-23.57677,-46.63933,18,72028,62,86,15,NORMAL,28,2019-3-3,52,001701b05337d890de66f17ae60f5d5f,1-99222d15564f249506c95d47b58ac27d,423
11,34,Paraíso,-23.57677,-46.63933,40,71320,36,58,29,NORMAL,43,2019-4-4,29,001701b05337d890de66f17ae6145a32,1-7522ef6c645a9ab14d853d79848d1dd8,454
36,30,Paraíso,-23.57677,-46.63933,21,73798,52,55,12,NORMAL,22,2019-12-18,19,001701b05337d890de66f17ae6513090,1-8d8f663f53a291f358eda88abbcdc676,708
35,29,Luz,-23.5365,-46.6332,6,124870,57,75,31,REABASTECER,24,2018-2-15,15,001f8c67932f19fac9f35aaf0500eac2,1-4f551020249be67c84651690e6f677c5,10845
4,14,Luz,-23.5365,-46.6332,43,127506,4,51,4,NORMAL,29,2018-3-14,14,001f8c67932f19fac9f35aaf05190e89,1-55971b3032184a22cf4de0555db45356,10874
30,28,São Judas,-23.6255,-46.6411,33,16957,49,64,30,NORMAL,30,2018-1-4,45,00233a9fb183a13b027f481e1d5d62f1,1-d7d044ff90ea296d77cd344923a8dbfb,12964
7,9,São Judas,-23.6255,-46.6411,18,14022,49,73,3,REABASTECER,17,2018-2-9,65,00233a9fb183a13b027f481e1d991226,1-a774ffd246210b55725070c4f2d4c4ea,12999
22,1,São Judas,-23.6255,-46.6411,43,15909,4,53,16,REABASTECER,4,2018-5-20,45,00233a9fb183a13b027f481e1dbfaa6e,1-8b8e0dc8f23a9c726c9f274de23b54fe,13100
25,27,São Judas,-23.6255,-46.6411,33,14477,10,41,33,NORMAL,43,2018-2-4,33,00233a9fb183a13b027f481e1dc17c69,1-63b5460439f6b57776d4296531e11407,12994
32,6,São Judas,-23.6255,-46.6411,8,13593,49,13,31,NORMAL,17,2018-5-6,5,00233a9fb183a13b027f481e1dcf4a29,1-d8afcae7fa41a76262141a3a27099695,13086
5,37,São Judas,-23.6255,-46.6411,22,17054,50,1,43,NORMAL,18,2018-3-11,65,00233a9fb183a13b027f481e1ddd56ba,1-729afa33aff0dd91d3034e914a5734ae,13031
12,26,São Judas,-23.6255,-46.6411,17,15292,39,45,23,NORMAL,23,2018-9-4,31,00233a9fb183a13b027f481e1dff5444,1-582f09a38a180810ba2893741ed41d24,13204
39,39,República,-23.5436,-46.6434,43,110416,53,86,25,NORMAL,16,2018-8-1,13,00257d194db1927a1b15311314d0eff0,1-7fd303f8f4b30c2904211bb0d95841e5,6691
43,7,Ana Rosa,-23.5813,-46.6383,11,66304,31,25,43,NORMAL,43,2019-2-11,51,002816d756d728002ac277f350b6cad3,1-e6cda12900d04a9f308037d0f715b16b,11921
13,9,Ana Rosa,-23.5813,-46.6383,30,66882,58,17,15,NORMAL,24,2019-5-3,15,002816d756d728002ac277f350fd4b89,1-c2876e58985ef23e374c358e6c888f6a,12003
30,28,Fradique Coutinho,-23.5661,-46.6841,26,33519,33,79,28,REABASTECER,40,2018-10-25,3,002ec5556a3e730925de5007006bfe41,1-86596d3bd944338c62f2ee3a097cc852,10375
43,37,Ana Rosa,-23.5813,-46.6383,43,66983,26,41,43,REABASTECER,3,2019-1-30,65,002fe25c3e325315a2613808543a891f,1-2dd65109750be60f49a2d7328b44dd97,11910
9,40,São Joaquim,-23.5618,-46.6389,37,33550,11,16,20,NORMAL,10,2018-4-16,55,002fe25c3e325315a2613808549df4b6,1-f7a99ec389f1410c8e3864c0a8021dcf,12346
20,38,São Joaquim,-23.5618,-46.6389,30,36405,11,19,9,NORMAL,17,2019-4-10,58,002fe25c3e325315a261380854b99e42,1-3448345673e26fe726388df5d665a586,12700
37,7,São Judas,-23.6255,-46.6411,26,16050,13,55,8,NORMAL,40,2018-7-4,58,002fe25c3e325315a261380854c2ba36,1-effe50d2b11b87f79c9883c1a624ecb1,13144
1,11,São Judas,-23.6255,-46.6411,33,16731,19,62,24,NORMAL,4,2018-8-15,30,002fe25c3e325315a261380854c2e7e2,1-e3d437cc4829e4a0277b81adb53de57e,13185
13,6,São Judas,-23.6255,-46.6411,22,15982,15,7,16,NORMAL,11,2018-11-21,28,002fe25c3e325315a261380854d14f26,1-bba0f40df287f63e39eb3b7d07e4e14b,13281
17,26,São Judas,-23.6255,-46.6411,9,14952,47,8,28,NORMAL,27,2019-2-22,65,002fe25c3e325315a261380854e50d18,1-3367cf8ac1ade38a90261e4f3359ba5b,13372
12,7,São Judas,-23.6255,-46.6411,31,15417,21,38,21,NORMAL,30,2019-6-12,44,002fe25c3e325315a261380854fae89d,1-8bffa987c98990d46df7e25463620162,13482
10,19,Vila Mariana,-23.5895,-46.6346,6,22416,35,74,26,NORMAL,40,2018-4-11,25,003af460ed843b723f38ceefa3ae054b,1-d3917d6ac1da2d058d30f1f746a70fa2,13781
33,34,Vila Mariana,-23.5895,-46.6346,24,24398,20,60,3,REABASTECER,29,2018-10-17,17,0046ad45327f48c06c1301e154077430,1-085c6860c09dbe0918a4142a8edefd75,13967
